split,valid,cur_ww,cur_vram,cur_mk,max_rt
tune,80/80,3471097.025,5643.800243288966,11258.6125,5.1465534000017215
locked,20/20,545837889.25,7905.442406759585,68354.35,0.21008570000049076
official_all,100/100,111944455.47,6096.128675983091,22677.76,0.44907929999681073
synthetic,500/500,4654282.794,803.2104694210702,9378.06,1.0440827000020363
